,PRODUCT_LIBRARY_KEY,CLIENT_ID,PRODUCT_DESCRIPTION_x,SIZE_RAW_x,SIZE_VALUE,PACK_RAW_x,AGE,ProductKey,PRODUCT_DESCRIPTION_y,SIZE_RAW_y,PACK_RAW_y
2993,6639,,FIGUERO 12 CRIANZA TEMP,750M,0.75,12.0,,6639,FIGUERO 12 CRIANZA TEMP,750M,12.0
2994,6640,,L10 PREMIUM MALBEC,750M,0.75,6.0,,6640,L10 PREMIUM MALBEC,750M,6.0
2995,6641,,TROPICAL BLUBRY MOSCATO,750M,0.75,12.0,,6641,TROPICAL BLUBRY MOSCATO,750M,12.0
2996,6642,,TROPICAL BLK SEMI SWEET,750M,0.75,12.0,,6642,TROPICAL BLK SEMI SWEET,750M,12.0
2997,6643,,TROPICAL RED SEMI SWEET,750M,0.75,12.0,,6643,TROPICAL RED SEMI SWEET,750M,12.0
2998,6644,,SNOWFLAKES SWEET RED WINE,750M,0.75,12.0,,6644,SNOWFLAKES SWEET RED WINE,750M,12.0
2999,6645,,SNOWFLAKES MOSCATO D'ASTI,750M,0.75,12.0,,6645,SNOWFLAKES MOSCATO D'ASTI,750M,12.0
3000,6646,,BIANCHI SAN RAF OAS SUR MALBEC,750M,0.75,12.0,,6646,BIANCHI SAN RAF OAS SUR MALBEC,750M,12.0
3001,6647,,QUINTA DO VALLADO DOURO RES,750M,0.75,6.0,,6647,QUINTA DO VALLADO DOURO RES,750M,6.0
3002,6648,,LUCA BOSIO BAROLO DOCG,750M,0.75,12.0,,6648,LUCA BOSIO BAROLO DOCG,750M,12.0
3003,6649,,VINTAGE LONGBOTTOM H CHARD,750M,0.75,6.0,,6649,VINTAGE LONGBOTTOM H CHARD,750M,6.0
3004,6650,,PASCUAL TOSO CAB RSV,750M,0.75,12.0,,6650,PASCUAL TOSO CAB RSV,750M,12.0
3005,6651,,PASCUAL TOSO FINCA PEDGREGAL,750M,0.75,6.0,,6651,PASCUAL TOSO FINCA PEDGREGAL,750M,6.0
3006,6652,,PASCUAL TOSO MAGDALENA MALBEC,750M,0.75,6.0,,6652,PASCUAL TOSO MAGDALENA MALBEC,750M,6.0
3007,6653,,CASA ROSSA ROSSO RED,750M,0.75,12.0,,6653,CASA ROSSA ROSSO RED,750M,12.0
