ProductKey,PRODUCT_ID,PRODUCT_DESCRIPTION,SIZE_RAW,SIZE_VALUE,PACK_RAW,PACK,STRENGTH,PROVIDER_SOURCE_ID,PROVIDER_ID,CLIENT_ID,SOURCE_SYSTEM_ID,UNIVERSAL_PROD_CODE,ACTIVE_FLAG,CREATE_DATE,AUTOMAP_ID,MANUFACTURER_NAME,CATEGORY_LEVEL_LL_DESCR,BRAND_LEVEL_LL_DESCR
3714,50061280,G DUB WH BLEND,1.5 L,1.5000,006,6.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3715,50061281,G DUB MACON VILLAGE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3716,50061282,G DUB BEAUJLAS MORGON FLOWER,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3717,50061283,G DUB BEAUJLAS MORGON JEAN DESC,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3718,50061284,G DUB MORGON JEAN DESCOMBES,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3719,50061285,G DUB PINOT NOIR,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3720,50061286,G DUB P FUISSE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3721,50061287,G DUB RED TABLE,1.5 L,1.5000,006,6.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3722,50061288,G DUB RED TABLE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3723,50061289,G DUB RSV SYRAH,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3724,50061290,G DUB BEAUJLAS NOUV WHOLE FOODS,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3725,50061291,G DUB WHITE TABLE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3726,50061292,ZZ G DUB MORGON DES VERSAUDS,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3727,50071408,G DUB BEAUJLAS ST AMOUR,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3728,50072119,G DUB BEAUJLAS NOUV WHOLE FOODS,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3729,50072120,G DUB BEAUJLAS NOUV ROSE WHOLE FOODS,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3730,50074554,G DUB BEAUJLAS NOUV TRAY,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3731,50074555,G DUB BEAUJLAS NOUV,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
3732,50074556,G DUB BEAUJLAS NOUV ROSE,750 M,0.7500,012,12.00,00000,27619,11,NULL,COLLECTIONS,NULL,1,2021-08-11 16:09:57.340,NULL,QIN,NULL,NULL
